# warp-vs-block sweep  Sun 21 Jun 2026 09:47:11 PM EDT
NVIDIA GeForce RTX 5090, 3090 MHz, 420 MHz, 31

################ NPROB=1  reps=3000 ################
# warp-per-problem vs one-block-per-problem | NPROB=1 reps=3000 | ns/problem (lower=better)
trsv  N=12  | BLOCK  tb32=4696.71  tb64=4677.88  tb128=4716.67  tb256=4709.24  | WARP  w1=4085.69  || block tb64=4677.88  warp w1=4085.69  -> WARP (1.14x)
trsv  N=16  | BLOCK  tb32=6163.35  tb64=6163.79  tb128=6498.74  tb256=6231.77  | WARP  w1=5737.82  || block tb32=6163.35  warp w1=5737.82  -> WARP (1.07x)
trsv  N=24  | BLOCK  tb32=9693.47  tb64=9726.26  tb128=9266.91  tb256=9420.43  | WARP  w1=8491.80  || block tb128=9266.91  warp w1=8491.80  -> WARP (1.09x)
trsv  N=32  | BLOCK  tb32=12631.72  tb64=12579.03  tb128=12581.56  tb256=12702.72  | WARP  w1=11521.04  || block tb64=12579.03  warp w1=11521.04  -> WARP (1.09x)

posv  N=4   | BLOCK  tb32=2690.54  tb64=2697.82  tb128=2695.13  tb256=2723.19  | WARP  w1=2501.76  || block tb32=2690.54  warp w1=2501.76  -> WARP (1.08x)
posv  N=6   | BLOCK  tb32=4613.23  tb64=4646.42  tb128=4646.58  tb256=4697.52  | WARP  w1=3931.27  || block tb32=4613.23  warp w1=3931.27  -> WARP (1.17x)
posv  N=8   | BLOCK  tb32=6194.31  tb64=6251.21  tb128=6254.49  tb256=6441.72  | WARP  w1=6282.45  || block tb32=6194.31  warp w1=6282.45  -> BLOCK (1.01x)
posv  N=12  | BLOCK  tb32=10840.00  tb64=11012.30  tb128=10469.62  tb256=10642.35  | WARP  w1=9641.61  || block tb128=10469.62  warp w1=9641.61  -> WARP (1.09x)
posv  N=16  | BLOCK  tb32=15280.77  tb64=14932.75  tb128=15416.24  tb256=14958.91  | WARP  w1=13691.24  || block tb64=14932.75  warp w1=13691.24  -> WARP (1.09x)
posv  N=24  | BLOCK  tb32=22003.23  tb64=22000.80  tb128=22132.00  tb256=22564.45  | WARP  w1=20538.49  || block tb64=22000.80  warp w1=20538.49  -> WARP (1.07x)
posv  N=32  | BLOCK  tb32=31848.30  tb64=31950.50  tb128=31979.11  tb256=32626.81  | WARP  w1=29623.41  || block tb32=31848.30  warp w1=29623.41  -> WARP (1.08x)


################ NPROB=64  reps=1500 ################
# warp-per-problem vs one-block-per-problem | NPROB=64 reps=1500 | ns/problem (lower=better)
dot   N=4   | BLOCK  tb32=21.17  tb64=21.21  tb128=21.17  tb256=21.07  | WARP  w1=20.58  w2=20.59  w4=20.53  w8=20.39  w16=20.90  w32=19.92  || block tb256=21.07  warp w32=19.92  -> WARP (1.06x)
dot   N=6   | BLOCK  tb32=20.75  tb64=20.83  tb128=20.85  tb256=20.79  | WARP  w1=20.51  w2=20.60  w4=20.53  w8=20.42  w16=20.86  w32=19.86  || block tb32=20.75  warp w32=19.86  -> WARP (1.04x)
dot   N=8   | BLOCK  tb32=20.72  tb64=20.68  tb128=20.68  tb256=20.67  | WARP  w1=20.57  w2=20.58  w4=20.62  w8=20.59  w16=20.89  w32=20.03  || block tb256=20.67  warp w32=20.03  -> WARP (1.03x)
