# mega sweep  Tue 23 Jun 2026 09:19:43 AM EDT
NVIDIA GeForce RTX 5090, 3090 MHz, 180 MHz, 28

################ NPROB=1  reps=3000  dtype=f32 (3-way) ################
# mega sweep | NPROB=1 reps=3000 dtype=f32 | ns/problem (lower=better) | optin_smem=99KB
# contenders: BLOCK(SIMT, TB swept) | WARP(WPB swept) | NV(cuBLASDx/cuSOLVERDx, forced; f32<=128, f64<=64)
gemm  N=32  | BLOCK  tb32=24469.68  tb64=12785.98  tb128=7177.22  tb256=4448.21  | WARP  w1=24375.18  || block tb256=4448.21  warp w1=24375.18  nv=1708.14  -> NVIDIA (2.60x)
gemm  N=48  | BLOCK  tb32=62167.59  tb64=31537.23  tb128=19085.36  tb256=10968.42  | WARP  w1=62118.37  || block tb256=10968.42  warp w1=62118.37  nv=2751.28  -> NVIDIA (3.99x)
gemm  N=64  | BLOCK  tb32=126660.90  tb64=90799.16  tb128=47064.78  tb256=25155.62  | WARP  w1=126614.81  || block tb256=25155.62  warp w1=126614.81  nv=3323.91  -> NVIDIA (7.57x)
gemm  N=96  | BLOCK  tb32=391964.96  tb64=217611.95  tb128=110302.01  tb256=75628.43  | WARP  w1=389986.98  || block tb256=75628.43  warp w1=389986.98  -> BLOCK (5.16x)
gemm  N=128 | BLOCK  tb32=706713.35  tb64=458626.59  tb128=351637.06  tb256=178095.04  | WARP  w1=706412.85  || block tb256=178095.04  warp w1=706412.85  -> BLOCK (3.97x)

chol  N=4   | BLOCK  tb32=1743.53  tb64=1746.53  tb128=1743.56  tb256=1740.54  | WARP  w1=1741.88  || block tb256=1740.54  warp w1=1741.88  nv=1738.97  -> NVIDIA (1.00x)
chol  N=6   | BLOCK  tb32=2592.94  tb64=2652.26  tb128=2650.94  tb256=2665.90  | WARP  w1=2285.73  || block tb32=2592.94  warp w1=2285.73  nv=1741.76  -> NVIDIA (1.31x)
chol  N=8   | BLOCK  tb32=3631.65  tb64=3725.57  tb128=3723.19  tb256=3744.69  | WARP  w1=3933.03  || block tb32=3631.65  warp w1=3933.03  nv=1739.12  -> NVIDIA (2.09x)
chol  N=12  | BLOCK  tb32=6154.03  tb64=6315.87  tb128=6319.23  tb256=6326.55  | WARP  w1=6364.40  || block tb32=6154.03  warp w1=6364.40  nv=1781.89  -> NVIDIA (3.45x)
chol  N=16  | BLOCK  tb32=9247.46  tb64=9206.72  tb128=9254.77  tb256=9265.70  | WARP  w1=9476.59  || block tb64=9206.72  warp w1=9476.59  nv=1938.65  -> NVIDIA (4.75x)
chol  N=24  | BLOCK  tb32=13777.95  tb64=13932.20  tb128=14034.76  tb256=14087.72  | WARP  w1=14115.63  || block tb32=13777.95  warp w1=14115.63  nv=2839.37  -> NVIDIA (4.85x)
chol  N=32  | BLOCK  tb32=20150.11  tb64=20412.83  tb128=20405.79  tb256=20551.16  | WARP  w1=20840.21  || block tb32=20150.11  warp w1=20840.21  nv=3288.90  -> NVIDIA (6.13x)
chol  N=48  | BLOCK  tb32=38207.08  tb64=34823.89  tb128=34319.37  tb256=34435.06  | WARP  w1=39487.10  || block tb128=34319.37  warp w1=39487.10  nv=4949.24  -> NVIDIA (6.93x)
chol  N=64  | BLOCK  tb32=62684.51  tb64=52741.78  tb128=52262.75  tb256=52588.32  | WARP  w1=64556.80  || block tb128=52262.75  warp w1=64556.80  nv=6713.59  -> NVIDIA (7.78x)
chol  N=96  | BLOCK  tb32=134771.88  tb64=105806.99  tb128=94161.85  tb256=94457.82  | WARP  w1=136519.32  || block tb128=94161.85  warp w1=136519.32  nv=11901.12  -> NVIDIA (7.91x)
chol  N=128 | BLOCK  tb32=248124.79  tb64=182126.00  tb128=152502.37  tb256=152670.23  | WARP  w1=254983.07  || block tb128=152502.37  warp w1=254983.07  nv=17739.54  -> NVIDIA (8.60x)

trsv  N=4   | BLOCK  tb32=1738.05  tb64=1740.26  tb128=1736.51  tb256=1739.34  | WARP  w1=1733.93  || block tb128=1736.51  warp w1=1733.93  nv=1733.35  -> NVIDIA (1.00x)
trsv  N=6   | BLOCK  tb32=2236.21  tb64=2234.17  tb128=2229.92  tb256=2246.48  | WARP  w1=2153.10  || block tb128=2229.92  warp w1=2153.10  nv=1734.08  -> NVIDIA (1.24x)
trsv  N=8   | BLOCK  tb32=2859.40  tb64=2863.02  tb128=2872.14  tb256=2887.17  | WARP  w1=2721.07  || block tb32=2859.40  warp w1=2721.07  nv=1735.38  -> NVIDIA (1.57x)
trsv  N=12  | BLOCK  tb32=4724.61  tb64=4725.02  tb128=4729.11  tb256=4779.58  | WARP  w1=4340.53  || block tb32=4724.61  warp w1=4340.53  nv=1735.66  -> NVIDIA (2.50x)
trsv  N=16  | BLOCK  tb32=6168.55  tb64=6168.94  tb128=6171.82  tb256=6237.62  | WARP  w1=5625.01  || block tb32=6168.55  warp w1=5625.01  nv=1730.66  -> NVIDIA (3.25x)
trsv  N=24  | BLOCK  tb32=9602.74  tb64=9601.61  tb128=9607.43  tb256=9698.55  | WARP  w1=8829.91  || block tb64=9601.61  warp w1=8829.91  nv=1853.65  -> NVIDIA (4.76x)
