# mega_sweep  Sun Jul 19 00:46:22 2026  (bench/tune.py)
NVIDIA GeForce RTX 5090, 3090 MHz, 292 MHz, 29

################ NPROB=64  reps=1000  dtype=f32 ################
# mega sweep | NPROB=64 reps=1000 dtype=f32 | ns/problem (lower=better) | optin_smem=99KB
# contenders: BLOCK(SIMT, TB swept) | WARP(WPB swept) | THREAD(SIMT, TPB swept) | NV(cuBLASDx/cuSOLVERDx, forced; f32<=128, f64<=64)
# THREAD stages operands global->registers->global in the per-problem-contiguous layout (uncoalesced; the layout tax is IN the timing).
gemv  N=16  | BLOCK  tb32=27.3926  tb64=27.3363  tb128=27.3605  tb256=27.3830  | WARP  w1=27.3025  w2=27.2777  w4=27.3455  w8=27.3939  w16=27.4039  w32=27.3574  | THREAD  t32=70.9730  t64=116.8684  t128=118.6365  t256=116.7920  || block tb64=27.3363  warp w2=27.2777  thread t32=70.9730  nv=27.3676  -> WARP (1.00x)
gemv  N=24  | BLOCK  tb32=29.0082  tb64=29.0228  tb128=28.9891  tb256=29.0400  | WARP  w1=29.5303  w2=30.0474  w4=30.1767  w8=30.1051  w16=29.5608  w32=31.3765  | THREAD  t32=247.4249  t64=275.8311  t128=273.3749  t256=272.3908  || block tb128=28.9891  warp w1=29.5303  thread t32=247.4249  nv=27.4177  -> NVIDIA (1.06x)
gemv  N=32  | BLOCK  tb32=35.4457  tb64=35.4741  tb128=35.4555  tb256=35.4670  | WARP  w1=35.7437  w2=36.4728  w4=36.6347  w8=36.9111  w16=36.2234  w32=38.2301  | THREAD  t32=772.6650  t64=841.9650  t128=839.7144  t256=840.5527  || block tb32=35.4457  warp w1=35.7437  thread t32=772.6650  nv=27.4667  -> NVIDIA (1.29x)
gemv  N=48  | BLOCK  tb32=80.9202  tb64=46.3514  tb128=46.3160  tb256=46.3492  | WARP  w1=80.7977  w2=81.4722  w4=81.2575  w8=81.7388  w16=80.0390  w32=84.7587  | THREAD  t32=1660.2352  t64=1765.8597  t128=1760.2769  t256=1757.1532  || block tb128=46.3160  warp w16=80.0390  thread t32=1660.2352  nv=31.4599  -> NVIDIA (1.47x)
gemv  N=64  | BLOCK  tb32=117.3898  tb64=64.3530  tb128=64.2927  tb256=64.3012  | WARP  w1=117.2493  w2=116.9960  w4=118.1655  w8=118.2889  w16=114.3980  w32=117.6742  | THREAD  t32=2915.0388  t64=3095.1263  t128=3094.5382  t256=3084.9219  || block tb128=64.2927  warp w16=114.3980  thread t32=2915.0388  nv=36.0422  -> NVIDIA (1.78x)
gemv  N=96  | BLOCK  tb32=250.3499  tb64=170.3228  tb128=91.4741  tb256=91.4700  | WARP  w1=249.9426  w2=250.0221  w4=249.7646  w8=251.3175  w16=242.6294  w32=246.2745  | THREAD  t32=6590.1025  t64=6969.7297  t128=6970.0713  t256=6966.2573  || block tb256=91.4700  warp w16=242.6294  thread t32=6590.1025  nv=55.8061  -> NVIDIA (1.64x)
gemv  N=128 | BLOCK  tb32=433.2126  tb64=222.0717  tb128=117.6388  tb256=117.6677  | WARP  w1=433.3699  w2=431.9113  w4=432.1958  w8=433.2942  w16=418.0200  w32=422.8982  | THREAD  t32=11568.4814  t64=12252.6245  t128=12261.8831  t256=12208.2197  || block tb128=117.6388  warp w16=418.0200  thread t32=11568.4814  nv=92.5050  -> NVIDIA (1.27x)

gemm  N=4   | BLOCK  tb32=27.2774  tb64=27.2337  tb128=27.3221  tb256=27.2815  | WARP  w1=27.1616  w2=27.2222  w4=27.2565  w8=27.2651  w16=27.1918  w32=27.2581  | THREAD  t32=27.2692  t64=27.3598  t128=27.3964  t256=27.4803  || block tb64=27.2337  warp w1=27.1616  thread t32=27.2692  nv=27.4059  -> WARP (1.01x)
gemm  N=6   | BLOCK  tb32=27.2909  tb64=27.1414  tb128=27.2608  tb256=27.2802  | WARP  w1=27.2427  w2=27.2081  w4=27.2550  w8=27.2733  w16=27.2442  w32=27.4645  | THREAD  t32=31.0996  t64=35.6001  t128=35.6798  t256=35.5062  || block tb64=27.1414  warp w2=27.2081  thread t32=31.0996  nv=27.3987  -> BLOCK (1.01x)
